pattern_type,symbol,window,P1_date,P1_price,T_date,T_price,P2_date,P2_price,breakout_date,image_path,P1_high,T1_date,T1_low,P2_high,T2_date,T2_low,P3_date,P3_high
double_bottom,RELIANCE.NS,2y,2024-12-20,1196.7204388413884,2025-01-17,1320.7251333812799,2025-03-03,1151.4013636439433,2025-04-28,D:\My Projects\pattern\PatternCharts\RELIANCE.NS\2y\DB\RELIANCE.NS_DB_pattern_2y_1.png,,,,,,,,
double_bottom,RELIANCE.NS,3y,2024-12-20,1196.7204388413884,2025-01-17,1320.7251333812799,2025-03-03,1151.4013636439433,2025-04-28,D:\My Projects\pattern\PatternCharts\RELIANCE.NS\3y\DB\RELIANCE.NS_DB_pattern_3y_1.png,,,,,,,,
head_and_shoulders,RELIANCE.NS,5y,2021-06-15,,,,2021-10-19,,2022-02-24,D:\My Projects\pattern\PatternCharts\RELIANCE.NS\5y\HNS\RELIANCE.NS_HNS_pattern_zoom_5y_1.png,1035.1068867541692,2021-07-28,917.4180206049048,1251.8972908980181,2021-12-20,1022.4573675126571,2022-01-14,1168.1522095010407
double_bottom,RELIANCE.NS,5y,2021-01-29,829.7791594362084,2021-03-08,1012.0132716669716,2021-04-22,850.9544197704057,2021-06-14,D:\My Projects\pattern\PatternCharts\RELIANCE.NS\5y\DB\RELIANCE.NS_DB_pattern_5y_1.png,,,,,,,,
double_top,RELIANCE.NS,5y,2021-10-19,1251.8972908980181,2021-12-20,1022.4573675126571,2022-01-14,1168.1522095010407,2022-03-07,D:\My Projects\pattern\PatternCharts\RELIANCE.NS\5y\DT\RELIANCE.NS_DT_pattern_5y_2.png,,,,,,,,
double_bottom,RELIANCE.NS,5y,2024-12-20,1196.7204388413884,2025-01-17,1320.7251333812799,2025-03-03,1151.4013636439433,2025-04-28,D:\My Projects\pattern\PatternCharts\RELIANCE.NS\5y\DB\RELIANCE.NS_DB_pattern_5y_3.png,,,,,,,,
double_top,TCS.NS,2y,2024-03-18,4143.000974857484,2024-03-27,3728.8225497991716,2024-04-15,3957.4554932330634,2024-04-19,D:\My Projects\pattern\PatternCharts\TCS.NS\2y\DT\TCS.NS_DT_pattern_2y_1.png,,,,,,,,
double_top,TCS.NS,2y,2024-04-15,3957.4554932330634,2024-05-02,3678.8213268689515,2024-05-07,3883.2564439608614,2024-05-30,D:\My Projects\pattern\PatternCharts\TCS.NS\2y\DT\TCS.NS_DT_pattern_2y_2.png,,,,,,,,
double_top,TCS.NS,3y,2023-02-16,3429.621515993147,2023-03-20,2969.1893881933324,2023-04-11,3139.854664954485,2023-04-19,D:\My Projects\pattern\PatternCharts\TCS.NS\3y\DT\TCS.NS_DT_pattern_3y_1.png,,,,,,,,
double_top,TCS.NS,3y,2024-03-18,4143.000974857484,2024-03-27,3728.8225497991716,2024-04-15,3957.4554932330634,2024-04-19,D:\My Projects\pattern\PatternCharts\TCS.NS\3y\DT\TCS.NS_DT_pattern_3y_2.png,,,,,,,,
double_top,TCS.NS,3y,2024-04-15,3957.4554932330634,2024-05-02,3678.8213268689515,2024-05-07,3883.2564439608614,2024-05-30,D:\My Projects\pattern\PatternCharts\TCS.NS\3y\DT\TCS.NS_DT_pattern_3y_3.png,,,,,,,,
double_top,TCS.NS,5y,2023-02-16,3429.621515993147,2023-03-20,2969.1893881933324,2023-04-11,3139.854664954485,2023-04-19,D:\My Projects\pattern\PatternCharts\TCS.NS\5y\DT\TCS.NS_DT_pattern_5y_1.png,,,,,,,,
double_top,TCS.NS,5y,2024-03-18,4143.000974857484,2024-03-27,3728.8225497991716,2024-04-15,3957.4554932330634,2024-04-19,D:\My Projects\pattern\PatternCharts\TCS.NS\5y\DT\TCS.NS_DT_pattern_5y_2.png,,,,,,,,
double_top,TCS.NS,5y,2024-04-15,3957.4554932330634,2024-05-02,3678.8213268689515,2024-05-07,3883.2564439608614,2024-05-30,D:\My Projects\pattern\PatternCharts\TCS.NS\5y\DT\TCS.NS_DT_pattern_5y_3.png,,,,,,,,
double_top,INFY.NS,2y,2024-09-02,1926.4024849433151,2024-09-20,1820.758635015316,2024-10-15,1941.7101864726114,2024-10-21,D:\My Projects\pattern\PatternCharts\INFY.NS\2y\DT\INFY.NS_DT_pattern_2y_1.png,,,,,,,,
double_bottom,INFY.NS,3y,2023-04-17,1110.022183050785,2023-05-29,1248.0609264704428,2023-06-26,1197.9735034098683,2023-06-30,D:\My Projects\pattern\PatternCharts\INFY.NS\3y\DB\INFY.NS_DB_pattern_3y_1.png,,,,,,,,
double_top,INFY.NS,3y,2024-09-02,1926.4024849433151,2024-09-20,1820.758635015316,2024-10-15,1941.7101864726114,2024-10-21,D:\My Projects\pattern\PatternCharts\INFY.NS\3y\DT\INFY.NS_DT_pattern_3y_2.png,,,,,,,,
double_bottom,INFY.NS,5y,2022-07-15,1306.7791860026705,2022-08-11,1511.2284507756174,2022-09-26,1255.2269159091425,2022-11-24,D:\My Projects\pattern\PatternCharts\INFY.NS\5y\DB\INFY.NS_DB_pattern_5y_1.png,,,,,,,,
double_bottom,INFY.NS,5y,2023-04-17,1110.022183050785,2023-05-29,1248.0609264704428,2023-06-26,1197.9735034098683,2023-06-30,D:\My Projects\pattern\PatternCharts\INFY.NS\5y\DB\INFY.NS_DB_pattern_5y_2.png,,,,,,,,
double_top,INFY.NS,5y,2024-09-02,1926.4024849433151,2024-09-20,1820.758635015316,2024-10-15,1941.7101864726114,2024-10-21,D:\My Projects\pattern\PatternCharts\INFY.NS\5y\DT\INFY.NS_DT_pattern_5y_3.png,,,,,,,,
double_top,HDFCBANK.NS,5y,2021-10-18,1645.032961468229,2021-12-20,1348.5455654341445,2022-01-12,1503.5601506246755,2022-03-02,D:\My Projects\pattern\PatternCharts\HDFCBANK.NS\5y\DT\HDFCBANK.NS_DT_pattern_5y_1.png,,,,,,,,
double_bottom,HDFCBANK.NS,5y,2022-05-19,1233.2148593972086,2022-05-30,1370.3995136348933,2022-06-17,1226.7511066775562,2022-07-29,D:\My Projects\pattern\PatternCharts\HDFCBANK.NS\5y\DB\HDFCBANK.NS_DB_pattern_5y_2.png,,,,,,,,
double_top,HDFCBANK.NS,5y,2022-12-15,1610.5207839138136,2023-01-11,1504.9792394533945,2023-01-24,1642.3569803872545,2023-03-15,D:\My Projects\pattern\PatternCharts\HDFCBANK.NS\5y\DT\HDFCBANK.NS_DT_pattern_5y_3.png,,,,,,,,
double_top,ICICIBANK.NS,2y,2024-10-29,1325.1251779791885,2024-11-21,1223.1124350544421,2024-12-16,1340.1095143687996,2025-01-13,D:\My Projects\pattern\PatternCharts\ICICIBANK.NS\2y\DT\ICICIBANK.NS_DT_pattern_2y_1.png,,,,,,,,
double_top,ICICIBANK.NS,3y,2023-07-24,984.3303623695843,2023-08-14,930.7438503525193,2023-09-15,981.4133711300916,2023-09-27,D:\My Projects\pattern\PatternCharts\ICICIBANK.NS\3y\DT\ICICIBANK.NS_DT_pattern_3y_1.png,,,,,,,,
double_top,ICICIBANK.NS,3y,2024-10-29,1325.1251779791885,2024-11-21,1223.1124350544421,2024-12-16,1340.1095143687996,2025-01-13,D:\My Projects\pattern\PatternCharts\ICICIBANK.NS\3y\DT\ICICIBANK.NS_DT_pattern_3y_2.png,,,,,,,,
double_top,ICICIBANK.NS,5y,2021-10-25,841.0069364855135,2021-12-20,677.2676153057263,2022-01-18,810.9363100238994,2022-03-04,D:\My Projects\pattern\PatternCharts\ICICIBANK.NS\5y\DT\ICICIBANK.NS_DT_pattern_5y_1.png,,,,,,,,
double_top,ICICIBANK.NS,5y,2024-10-29,1325.1251779791885,2024-11-21,1223.1124350544421,2024-12-16,1340.1095143687996,2025-01-13,D:\My Projects\pattern\PatternCharts\ICICIBANK.NS\5y\DT\ICICIBANK.NS_DT_pattern_5y_2.png,,,,,,,,
double_top,LT.NS,5y,2021-11-11,1906.1805690244853,2021-11-29,1668.9841883681183,2022-01-18,1999.2893291387556,2022-03-04,D:\My Projects\pattern\PatternCharts\LT.NS\5y\DT\LT.NS_DT_pattern_5y_1.png,,,,,,,,
double_top,LT.NS,5y,2022-01-18,1999.2893291387556,2022-03-08,1534.1783828896357,2022-04-06,1787.149612686352,2022-05-11,D:\My Projects\pattern\PatternCharts\LT.NS\5y\DT\LT.NS_DT_pattern_5y_2.png,,,,,,,,
double_top,AXISBANK.NS,5y,2022-04-19,812.8062439697597,2022-05-16,627.4301954071948,2022-05-30,695.0977577885045,2022-06-20,D:\My Projects\pattern\PatternCharts\AXISBANK.NS\5y\DT\AXISBANK.NS_DT_pattern_5y_1.png,,,,,,,,
double_top,KOTAKBANK.NS,1y,2025-04-22,2299.2489909588016,2025-06-06,2031.4579560954785,2025-07-10,2240.11731320662,2025-07-28,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\1y\DT\KOTAKBANK.NS_DT_pattern_1y_1.png,,,,,,,,
double_bottom,KOTAKBANK.NS,2y,2024-05-03,1540.3837181112935,2024-07-09,1865.8014649230422,2024-07-24,1727.0588129410185,2024-09-19,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\2y\DB\KOTAKBANK.NS_DB_pattern_2y_1.png,,,,,,,,
double_top,KOTAKBANK.NS,2y,2025-04-22,2299.2489909588016,2025-06-06,2031.4579560954785,2025-07-10,2240.11731320662,2025-07-28,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\2y\DT\KOTAKBANK.NS_DT_pattern_2y_2.png,,,,,,,,
double_top,KOTAKBANK.NS,3y,2023-05-31,2058.070298069542,2023-06-20,1809.7343560829759,2023-07-21,1981.6554188327818,2023-08-10,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\3y\DT\KOTAKBANK.NS_DT_pattern_3y_1.png,,,,,,,,
double_top,KOTAKBANK.NS,3y,2023-07-21,1981.6554188327818,2023-08-18,1742.578868066315,2023-09-13,1831.877847261978,2023-09-28,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\3y\DT\KOTAKBANK.NS_DT_pattern_3y_2.png,,,,,,,,
double_bottom,KOTAKBANK.NS,3y,2024-05-03,1540.3837181112935,2024-07-09,1865.8014649230422,2024-07-24,1727.0588129410185,2024-09-19,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\3y\DB\KOTAKBANK.NS_DB_pattern_3y_3.png,,,,,,,,
double_top,KOTAKBANK.NS,3y,2025-04-22,2299.2489909588016,2025-06-06,2031.4579560954785,2025-07-10,2240.11731320662,2025-07-28,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\3y\DT\KOTAKBANK.NS_DT_pattern_3y_4.png,,,,,,,,
double_bottom,KOTAKBANK.NS,5y,2022-03-08,1666.418826089891,2022-04-04,1833.2549294517983,2022-04-20,1677.2289023031879,2022-05-17,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\5y\DB\KOTAKBANK.NS_DB_pattern_5y_1.png,,,,,,,,
double_top,KOTAKBANK.NS,5y,2023-05-31,2058.070298069542,2023-06-20,1809.7343560829759,2023-07-21,1981.6554188327818,2023-08-10,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\5y\DT\KOTAKBANK.NS_DT_pattern_5y_2.png,,,,,,,,
double_top,KOTAKBANK.NS,5y,2023-07-21,1981.6554188327818,2023-08-18,1742.578868066315,2023-09-13,1831.877847261978,2023-09-28,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\5y\DT\KOTAKBANK.NS_DT_pattern_5y_3.png,,,,,,,,
double_bottom,KOTAKBANK.NS,5y,2024-05-03,1540.3837181112935,2024-07-09,1865.8014649230422,2024-07-24,1727.0588129410185,2024-09-19,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\5y\DB\KOTAKBANK.NS_DB_pattern_5y_4.png,,,,,,,,
double_top,KOTAKBANK.NS,5y,2025-04-22,2299.2489909588016,2025-06-06,2031.4579560954785,2025-07-10,2240.11731320662,2025-07-28,D:\My Projects\pattern\PatternCharts\KOTAKBANK.NS\5y\DT\KOTAKBANK.NS_DT_pattern_5y_5.png,,,,,,,,
double_top,SBIN.NS,2y,2024-07-19,881.3038205050954,2024-08-13,779.3999798102883,2024-09-03,809.6917790988241,2024-09-06,D:\My Projects\pattern\PatternCharts\SBIN.NS\2y\DT\SBIN.NS_DT_pattern_2y_1.png,,,,,,,,
double_bottom,SBIN.NS,3y,2023-03-27,474.3502102854361,2023-06-08,572.6552488450642,2023-06-23,533.9447583891194,2023-07-17,D:\My Projects\pattern\PatternCharts\SBIN.NS\3y\DB\SBIN.NS_DB_pattern_3y_1.png,,,,,,,,
double_top,SBIN.NS,3y,2023-07-24,599.6031798857839,2023-08-16,534.1375796285616,2023-09-18,586.587220031729,2023-10-23,D:\My Projects\pattern\PatternCharts\SBIN.NS\3y\DT\SBIN.NS_DT_pattern_3y_2.png,,,,,,,,
double_top,SBIN.NS,5y,2023-07-24,599.6031798857839,2023-08-16,534.1375796285616,2023-09-18,586.587220031729,2023-10-23,D:\My Projects\pattern\PatternCharts\SBIN.NS\5y\DT\SBIN.NS_DT_pattern_5y_1.png,,,,,,,,
double_bottom,ITC.NS,1y,2025-03-03,384.12253365869424,2025-03-17,408.719315135297,2025-04-07,383.09149195819776,2025-04-09,D:\My Projects\pattern\PatternCharts\ITC.NS\1y\DB\ITC.NS_DB_pattern_1y_1.png,,,,,,,,
double_bottom,ITC.NS,2y,2025-03-03,384.12253365869424,2025-03-17,408.719315135297,2025-04-07,383.09149195819776,2025-04-09,D:\My Projects\pattern\PatternCharts\ITC.NS\2y\DB\ITC.NS_DB_pattern_2y_1.png,,,,,,,,
double_top,ITC.NS,3y,2023-07-24,467.74728123467986,2023-08-31,408.2140850325601,2023-09-13,427.77766137506893,2023-10-04,D:\My Projects\pattern\PatternCharts\ITC.NS\3y\DT\ITC.NS_DT_pattern_3y_1.png,,,,,,,,
double_bottom,ITC.NS,3y,2025-03-03,384.12253365869424,2025-03-17,408.719315135297,2025-04-07,383.09149195819776,2025-04-09,D:\My Projects\pattern\PatternCharts\ITC.NS\3y\DB\ITC.NS_DB_pattern_3y_2.png,,,,,,,,
double_top,ITC.NS,5y,2021-02-09,197.06636956676445,2021-03-15,170.0260986947884,2021-03-23,192.37574982562006,2021-05-03,D:\My Projects\pattern\PatternCharts\ITC.NS\5y\DT\ITC.NS_DT_pattern_5y_1.png,,,,,,,,
double_top,ITC.NS,5y,2023-07-24,467.74728123467986,2023-08-31,408.2140850325601,2023-09-13,427.77766137506893,2023-10-04,D:\My Projects\pattern\PatternCharts\ITC.NS\5y\DT\ITC.NS_DT_pattern_5y_2.png,,,,,,,,
double_bottom,ASIANPAINT.NS,2y,2024-05-10,2615.8535745517056,2024-06-05,2965.796687288949,2024-07-18,2811.2002224585717,2024-07-30,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\2y\DB\ASIANPAINT.NS_DB_pattern_2y_1.png,,,,,,,,
double_bottom,ASIANPAINT.NS,3y,2023-01-27,2609.321976990737,2023-03-17,2840.6374016118493,2023-04-03,2631.4721620432715,2023-05-03,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\3y\DB\ASIANPAINT.NS_DB_pattern_3y_1.png,,,,,,,,
double_top,ASIANPAINT.NS,3y,2023-07-24,3489.419904312747,2023-08-21,3082.7287073108973,2023-09-25,3261.355978711486,2023-10-10,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\3y\DT\ASIANPAINT.NS_DT_pattern_3y_2.png,,,,,,,,
double_bottom,ASIANPAINT.NS,3y,2024-05-10,2615.8535745517056,2024-06-05,2965.796687288949,2024-07-18,2811.2002224585717,2024-07-30,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\3y\DB\ASIANPAINT.NS_DB_pattern_3y_3.png,,,,,,,,
double_top,ASIANPAINT.NS,5y,2021-07-20,3063.164594157612,2021-07-30,2843.8924925317656,2021-09-24,3376.754730074038,2021-10-25,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\5y\DT\ASIANPAINT.NS_DT_pattern_5y_1.png,,,,,,,,
double_top,ASIANPAINT.NS,5y,2022-09-28,3475.796163883792,2022-10-27,2942.334110355302,2022-12-09,3149.9652536882536,2023-01-03,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\5y\DT\ASIANPAINT.NS_DT_pattern_5y_2.png,,,,,,,,
double_bottom,ASIANPAINT.NS,5y,2023-01-27,2609.321976990737,2023-03-17,2840.6374016118493,2023-04-03,2631.4721620432715,2023-05-03,D:\My Projects\pattern\PatternCharts\ASIANPAINT.NS\5y\DB\ASIANPAINT.NS_DB_pattern_5y_3.png,,,,,,,,
